website,name,location,distance,score,reviews,type,type2,day,price
https://www.booking.com/hotel/de/titanic-gendarmenmarkt-berlin.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=127852201_298304370_1_2_0&highlighted_blocks=127852201_298304370_1_2_0&matching_block_id=127852201_298304370_1_2_0&sr_pri_blocks=127852201_298304370_1_2_0__15444&from_sustainable_property_sr=1&from=searchresults&map=1,TITANIC Gendarmenmarkt Berlin,"Mitte, Berlin",Center: 1.2 km,8.5,"6,404 reviews",Classic double room,1 double bed,1 night,€154
https://www.booking.com/hotel/de/motel-one-berlin-hauptbahnhof.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=28191001_159148334_1_2_0&highlighted_blocks=28191001_159148334_1_2_0&matching_block_id=28191001_159148334_1_2_0&sr_pri_blocks=28191001_159148334_1_2_0__10395&from_sustainable_property_sr=1&from=searchresults&map=1,Motel One Berlin Central Station,"Mitte, Berlin",Center: 1.3 km,8.5,"8,052 reviews",King room,1 double bed,1 night,€104
https://www.booking.com/hotel/de/romy-by-amano.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=755628702_332931513_2_2_0&highlighted_blocks=755628702_332931513_2_2_0&matching_block_id=755628702_332931513_2_2_0&sr_pri_blocks=755628702_332931513_2_2_0__10185&from_sustainable_property_sr=1&from=searchresults&map=1,Hotel ROMY by AMANO,"Mitte, Berlin",Center: 1.3 km,8.3,"5,425 reviews",Standard double room,1 double bed,1 night,€102
https://www.booking.com/hotel/de/riu-plaza-berlin.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=137707302_240604707_2_2_0&highlighted_blocks=137707302_240604707_2_2_0&matching_block_id=137707302_240604707_2_2_0&sr_pri_blocks=137707302_240604707_2_2_0__8910&from_sustainable_property_sr=1&from=searchresults&map=1,Riu Plaza Berlin,"Tempelhof-Schöneberg, Berlin",Center: 2.7 km,8.3,"17,371 reviews",Deluxe double room,Beds: 1 double bed or 2 single beds,1 night,€89
https://www.booking.com/hotel/de/zoe-by-amano-group.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=161417605_341548675_0_2_0&highlighted_blocks=161417605_341548675_0_2_0&matching_block_id=161417605_341548675_0_2_0&sr_pri_blocks=161417605_341548675_0_2_0__8667&from_sustainable_property_sr=1&from=searchresults&map=1,Hotel ZOE by AMANO,"Mitte, Berlin",Center: 1.8 km,8.2,"4,526 reviews",Economy single room,1 single bed,1 night,€87
https://www.booking.com/hotel/de/hilton-berlin.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=6417514_338448107_2_2_0&highlighted_blocks=6417514_338448107_2_2_0&matching_block_id=6417514_338448107_2_2_0&sr_pri_blocks=6417514_338448107_2_2_0__13476&from_sustainable_property_sr=1&from=searchresults&map=1,Hilton Berlin,"Mitte, Berlin",Center: 1.2 km,7.7,"3,015 reviews",Twin room,1 single bed,1 night,€135
https://www.booking.com/hotel/de/bbberlin.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=6005299_93701883_2_2_0&highlighted_blocks=6005299_93701883_2_2_0&matching_block_id=6005299_93701883_2_2_0&sr_pri_blocks=6005299_93701883_2_2_0__9484&from_sustainable_property_sr=1&from=searchresults&map=1,"Hotel Berlin, Berlin, a member of Radisson Individuals","Mitte, Berlin",Center: 2.1 km,8,"14,561 reviews",Cozy little room,1 double bed,1 night,€95
https://www.booking.com/hotel/de/motel-one-berlin-upper-west.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=213546403_119810686_1_2_0&highlighted_blocks=213546403_119810686_1_2_0&matching_block_id=213546403_119810686_1_2_0&sr_pri_blocks=213546403_119810686_1_2_0__10395&from_sustainable_property_sr=1&from=searchresults&map=1,Motel One Berlin Upper West,"Charlottenburg-Wilmersdorf, Berlin",Center: 3.2 km,8.5,"7,233 reviews",King room,1 double bed,1 night,€104
https://www.booking.com/hotel/de/maritimberlin.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=6037402_311126649_0_34_0&highlighted_blocks=6037402_311126649_0_34_0&matching_block_id=6037402_311126649_0_34_0&sr_pri_blocks=6037402_311126649_0_34_0__12663&from_sustainable_property_sr=1&from=searchresults&map=1,Maritim proArte Hotel Berlin,"Mitte, Berlin",Center: 0.8 km,8.1,"12,082 reviews",Classic double room,Beds: 1 double bed or 2 single beds,1 night,€127
https://www.booking.com/hotel/de/ibis-berlin-hauptbahnhof.de.html?label=gog235jc-1FCAEoggI46AdIM1gDaDuIAQGYAQe4AQfIAQzYAQHoAQH4AQyIAgGoAgO4AvCNnrEGwAIB0gIkZTM5MThkZGItNzQ0MS00YmQ5LTgyNTQtNDg5NTRlNjU5NWJk2AIG4AIB&sid=b69adacc145c65665d7ace9a2f315147&aid=397594&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-02&dest_id=-1746443&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=92fd468818670023&srepoch=1713866583&all_sr_blocks=132491301_373604915_2_2_0&highlighted_blocks=132491301_373604915_2_2_0&matching_block_id=132491301_373604915_2_2_0&sr_pri_blocks=132491301_373604915_2_2_0__9900&from_sustainable_property_sr=1&from=searchresults&map=1,Ibis Berlin Central Station,"Mitte, Berlin",Center: 1.3 km,8.2,"6,187 reviews",Double room,1 French double bed,1 night,€99
