website,name,score,reviews,type,duration,comment1,price,group,city
https://www.tripadvisor.com/AttractionProductReview-g187323-d25433989-Royal_Rude_Bastards_Tour_of_Potsdam-Berlin.html,Royal Rude Bastards Tour of Potsdam,,,Historical Tours,4 hours,"The politically incorrect way to learn about Potsdam! Enjoy our newest, well-rounded historical view of Potsdam. If you …",$33,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26515440-Third_Reich_and_the_Holocaust_in_Berlin_Private_Guided_Tour-Berlin.html,Third Reich and the Holocaust in Berlin Private Guided Tour,,,Historical Tours,3–5 hours,Hear the true story of the Third Reich and World War II on a guided tour of the Topography of Terror museum and war memorials…,$205,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d17807413-Combative_Berlin_Walking_Tour-Berlin.html,Combative Berlin Walking Tour,,,Historical Tours,3 hours,Let us take you along the former border between East and West Berlin. Pass the former Reich’s Ministry of Aviation that …,$335,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26672117-Private_Berlin_E_Bike_Tour_and_Rickshaw_up_to_7_Guests-Berlin.html,Private Berlin (E)Bike Tour and Rickshaw (up to 7 Guests),,,Historical Tours,3 hours,Private bike tour with Family and friends for Young and Less Young (they have to take a few steps to enter the Rickshaw) …,$387,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19267441-Jewish_legacy_walking_tour_in_Berlin-Berlin.html,Jewish legacy walking tour in Berlin,,,Historical Tours,3 hours,"Embark on a poignant journey of discovery. This tour is an invitation to step into the shoes of history’s witnesses, exploring…",$133,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d17683568-Off_The_Beaten_Track_Tour_across_Berlin_in_a_car_or_minivan-Berlin.html,Off-The-Beaten-Track-Tour across Berlin in a car or minivan,,,Historical Tours,3–4 hours,"This is an off-the-beaten-track experience across Berlin, combining the diversity of the city with its history. Along the…",$662,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d25177413-Memorials_and_Monuments_A_Self_Guided_Audio_Tour_in_Berlin-Berlin.html,Memorials and Monuments: A Self-Guided Audio Tour in Berlin,,,Historical Tours,75–90 minutes,Are you looking for a way to see Berlin’s important monuments and landmarks without joining a tour group? Explore at your…,$6,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d15787659-Berlin_Airport_Transfers_Berlin_City_to_Berlin_Airport_SXF_in_Business_Car-Berlin.html,Berlin Airport Transfers : Berlin City to Berlin Airport SXF in Business Car,,,Transportation Services,30 minutes,Berlin Airport Transfer Service aims to achieve the very highest possible standards possible for all its passengers. This…,$81,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19253127-Berlin_City_Experience_Walking_Tour_with_Private_Guide-Berlin.html,Berlin City Experience Walking Tour with Private Guide,,,Historical Tours,4 hours,"Walking Guided tour of the German capital 

Berlin City Experience Tour can accommodate your elegant taste with a local …",$138,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d11459722-Berlin_Wall_Cold_War_Private_Eye_Witness_Black_Van_Half_Day_Tour-Berlin.html,Berlin Wall & Cold War: Private Eye-Witness Black Van Half Day Tour,,,Historical Tours,4 hours,"Learn about life in the once-divided city of Berlin on this private tour, led by guides who lived through the Cold War. 

…",$443,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d20292786-Private_transfer_from_Berlin_to_Prague_with_Terezin_Concentration_Camp_stop-Berlin.html,Private transfer from Berlin to Prague with Terezin Concentration Camp stop,,,Transportation Services,6 hours,Travel comfortably to Prague with your private English-speaking driver and enjoy a unique stop in Terezin along the way. …,$271,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d25337986-Private_Taxi_Tour_through_Berlin_Extras_Extended_Relaxed_5_6h-Berlin.html,Private Taxi Tour through Berlin + Extras – Extended & Relaxed 5-6h,,,Historical Tours,5–6 hours,"In contrast to bus trips, with an individual city tour you have the opportunity to stop almost everywhere - be it for a …",$149,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d17575304-Templars_Bunkers_and_Prussian_Glory_A_Self_Guided_Audio_Tour-Berlin.html,"Templars, Bunkers and Prussian Glory: A Self-Guided Audio Tour",,,Historical Tours,1 hour,"Get to know the other side of Kreuzberg, away from the partying crowds and Easy-jet Armada: a place where great world inventions…",$7,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26683151-Berlin_Highlights_by_E_Bike_Non_Bikers_by_Rickshaw_small_group-Berlin.html,Berlin Highlights by (E)Bike-Non Bikers by Rickshaw (small group),,,Bike Tours,3 hours,"Embark on an immersive journey through Berlin with our engaging and practical tour. 

Capture unforgettable moments at your…",$33,per adult,berlin
,,,1,19,21,,,,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d17428777-Transfer_from_Berlin_to_Munich_Private_daytrip_with_2_hours_for_sightseeing-Berlin.html,Transfer from Berlin to Munich: Private daytrip with 2 hours for sightseeing,,,Transportation Services,6+ hours,Enjoy a hassle-free arrival in Munich with our private transfer service full of wonderful authentic experiences and insights…,$431,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d26590282-Berlin_Local_Fashion_Designers_Shopping_Tour_with_a_Stylist-Berlin.html,Berlin Local Fashion Designers Shopping Tour with a Stylist,,,Fashion Tours,3 hours,Discover the local shopping scene and its fashion DNA with a professional stylist as you embark on a personalized shopping…,$120,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19279758-Berlin_Third_Reich_Private_Walking_Tour-Berlin.html,Berlin Third Reich Private Walking Tour,,,Historical Tours,4 hours,"Tour Highlights
• The Reichstag
• Politician Memorial
• Soviet Memorial
• Homosexual Memorial
• Jewish Memorial
• Sinti …",$151,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d20184419-Private_Transfer_from_Berlin_to_Krakow_Hotel_to_hotel_English_speaking_driver-Berl.html,"Private Transfer from Berlin to Krakow, Hotel-to-hotel, English-speaking driver",,,Transportation Services,6 hours,Benefit from our private transfer from Berlin to Krakow with our experienced local driver who will make sure you enjoy a…,$409,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19253126-Berlin_City_Experience_Transit_Tour_by_car_or_minivan-Berlin.html,Berlin City Experience Transit Tour by car or minivan,,,Historical Tours,4 hours,"Transit Guided tour of the German capital by car or minivan

Berlin City Tours can accommodate your elegant taste with a…",$260,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d17807415-Berlin_Wall_Walking_Tour-Berlin.html,Berlin Wall Walking Tour,,,Historical Tours,2 hours,"Do you know the previous distinction of Nordbahnhof train station? Start the tour, walk along the former death-strip, and…",$477,per group,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d20108557-Learn_Magic_and_Mindreading_like_a_Pro-Berlin.html,Learn Magic and Mindreading like a Pro,,,Art Classes,2 hours,"Are you a Potterhead? Have you ever watched Dynamo, David Blaine or the German Ehrlich Brothers and wanted to perform magic…",$79,per adult,berlin
https://www.tripadvisor.com/AttractionProductReview-g187323-d19801990-Euro_Hopper_10_Day_Rail_Tour-Berlin.html,Euro Hopper - 10 Day Rail Tour,,,Rail Tours,3+ days,"This 10-day rail tour takes you to Berlin, Prague, Krakow, and Budapest. The tour includes hotel accommodation, complete…","$1,895",per adult,berlin
